Country,Clicks,Impressions,CTR,Position
Malawi,0,26,0%,22.35
Jersey,0,26,0%,29.42
Haiti,0,24,0%,29.92
Sierra Leone,0,23,0%,25.35
Mauritania,0,22,0%,19.05
Fiji,0,21,0%,18.24
Tajikistan,0,21,0%,27.71
Sint Maarten,0,19,0%,16.11
Réunion,0,19,0%,23.95
Gibraltar,0,17,0%,19.94
Western Sahara,0,17,0%,42.65
Afghanistan,0,16,0%,21.5
Isle of Man,0,15,0%,18.27
Dominica,0,14,0%,33.07
U.S. Virgin Islands,0,13,0%,16.85
Gambia,0,12,0%,21.83
Anguilla,0,11,0%,23.45
Papua New Guinea,0,10,0%,11.4
Guernsey,0,10,0%,34.1
Lesotho,0,9,0%,22.44
Martinique,0,9,0%,26.22
San Marino,0,9,0%,26.56
Bhutan,0,8,0%,14.88
Guadeloupe,0,8,0%,19.62
Sudan,0,7,0%,16
Chad,0,7,0%,22.43
Burundi,0,7,0%,22.57
Guinea-Bissau,0,7,0%,25.86
New Caledonia,0,6,0%,20
Liberia,0,6,0%,25.17
Niger,0,6,0%,34
French Guiana,0,6,0%,41.83
Swaziland,0,5,0%,9.6
Caribbean Netherlands,0,5,0%,20.2
Guam,0,5,0%,23.4
Faroe Islands,0,5,0%,26.2
Solomon Islands,0,4,0%,11.5
Montserrat,0,4,0%,11.75
Turkmenistan,0,4,0%,24.25
French Polynesia,0,4,0%,28.5
Greenland,0,4,0%,50.5
Kiribati,0,3,0%,12
St. Martin,0,3,0%,12.67
Djibouti,0,3,0%,20.33
Marshall Islands,0,3,0%,34.67
Tonga,0,2,0%,4.5
North Korea,0,2,0%,6.5
Timor-Leste,0,2,0%,9
São Tomé & Príncipe,0,2,0%,10.5
St. Barthélemy,0,2,0%,13
Vanuatu,0,2,0%,15
Liechtenstein,0,2,0%,18
Cook Islands,0,1,0%,5
Tuvalu,0,1,0%,5
Monaco,0,1,0%,8
Samoa,0,1,0%,16
St. Helena,0,1,0%,19
